date,near,terra,crypto_choice_avg,inflation_headlinese_avg,energy_consumption_avg
2021-11-15,44,0,-0.058630000000000015,0.08128,0.23117500000000005
2021-11-16,63,5,0.05567999999999999,0.01881500000000001,0.132635
2021-11-17,43,5,-0.019175000000000005,-0.08721000000000001,0.10700500000000002
2021-11-18,31,5,-0.08109,-0.012644999999999995,0.013874999999999998
2021-11-19,60,3,-0.24231499999999997,0.005305000000000002,0.06676499999999999
2021-11-20,100,0,0.15905,0.13437499999999997,-0.10515
2021-11-21,71,3,0.051129999999999995,0.09905500000000002,0.041995000000000005
2021-11-22,56,3,0.05195000000000001,0.06120000000000002,0.13442499999999996
2021-11-23,23,5,-0.052795,-0.016525000000000005,0.13403499999999996
2021-11-24,34,3,-0.11806000000000001,0.014745,0.08414499999999998
2021-11-25,58,3,-0.04726,-0.026880000000000005,0.24961500000000006
2021-11-26,55,8,0.065185,0.008665,0.03990500000000001
2021-11-27,60,6,0.18228,0.06781000000000001,0.13848
2021-11-28,62,3,-0.098205,-0.10813500000000001,-0.15320499999999998
2021-11-29,34,0,0.036640000000000006,0.001605000000000001,0.145145
2021-11-30,40,5,0.072875,0.001354999999999998,0.15836999999999998
2021-12-01,43,0,0.013105000000000006,-0.09039,0.15258000000000002
2021-12-02,51,5,0.02882500000000001,-0.013795000000000007,0.11392500000000001
2021-12-03,45,3,-0.024384999999999997,0.01954,-0.009684999999999985
2021-12-04,76,6,-0.048799999999999996,-0.014625000000000008,0.020034999999999997
2021-12-05,58,6,-0.16376,-0.09387499999999999,0.234605
2021-12-06,66,0,-0.059945000000000005,0.04582000000000001,0.16328499999999999
2021-12-07,41,0,-0.09442999999999999,-0.007594999999999993,0.13218
2021-12-08,34,5,0.066115,0.159385,0.19203500000000004
2021-12-09,62,0,0.17681000000000002,-0.012689999999999998,0.27298000000000006
2021-12-10,44,8,-0.076635,0.07148,0.11952500000000003
2021-12-11,73,3,0.08449500000000001,0.031070000000000007,0.08277999999999999
2021-12-12,66,0,0.16636499999999999,-0.040670000000000005,0.00015000000000000012
